seatId,sectionId,row,number,status,version
SEAT141,SEC1,8,1,BOOKED,0
SEAT142,SEC1,8,2,BOOKED,0
SEAT143,SEC1,8,3,BOOKED,0
SEAT144,SEC1,8,4,BOOKED,0
SEAT145,SEC1,8,5,BOOKED,0
SEAT146,SEC1,8,6,BOOKED,0
SEAT147,SEC1,8,7,BOOKED,0
SEAT148,SEC1,8,8,AVAILABLE,0
SEAT149,SEC1,8,9,BOOKED,0
SEAT150,SEC1,8,10,BOOKED,0
SEAT151,SEC1,8,11,BOOKED,0
SEAT152,SEC1,8,12,BOOKED,0
SEAT153,SEC1,8,13,BOOKED,0
SEAT154,SEC1,8,14,BOOKED,0
SEAT155,SEC1,8,15,BOOKED,0
SEAT156,SEC1,8,16,BOOKED,0
SEAT157,SEC1,8,17,BOOKED,0
SEAT158,SEC1,8,18,BOOKED,0
SEAT159,SEC1,8,19,BOOKED,0
SEAT160,SEC1,8,20,BOOKED,0
SEAT161,SEC1,9,1,BOOKED,0
SEAT162,SEC1,9,2,BOOKED,0
SEAT163,SEC1,9,3,BOOKED,0
SEAT164,SEC1,9,4,BOOKED,0
SEAT165,SEC1,9,5,BOOKED,0
SEAT166,SEC1,9,6,BOOKED,0
SEAT167,SEC1,9,7,BOOKED,0
SEAT168,SEC1,9,8,BOOKED,0
SEAT169,SEC1,9,9,BOOKED,0
SEAT170,SEC1,9,10,BOOKED,0
SEAT171,SEC1,9,11,BOOKED,0
SEAT172,SEC1,9,12,BOOKED,0
SEAT173,SEC1,9,13,BOOKED,0
SEAT174,SEC1,9,14,BOOKED,0
SEAT175,SEC1,9,15,BOOKED,0
SEAT176,SEC1,9,16,BOOKED,0
SEAT177,SEC1,9,17,BOOKED,0
SEAT178,SEC1,9,18,BOOKED,0
SEAT179,SEC1,9,19,BOOKED,0
SEAT180,SEC1,9,20,BOOKED,0
SEAT181,SEC1,10,1,BOOKED,0
SEAT182,SEC1,10,2,BOOKED,0
SEAT183,SEC1,10,3,BOOKED,0
SEAT184,SEC1,10,4,BOOKED,0
SEAT185,SEC1,10,5,BOOKED,0
SEAT186,SEC1,10,6,BOOKED,0
SEAT187,SEC1,10,7,BOOKED,0
SEAT188,SEC1,10,8,BOOKED,0
SEAT189,SEC1,10,9,BOOKED,0
SEAT190,SEC1,10,10,BOOKED,0
SEAT191,SEC1,10,11,BOOKED,0
SEAT192,SEC1,10,12,AVAILABLE,0
SEAT193,SEC1,10,13,BOOKED,0
SEAT194,SEC1,10,14,BOOKED,0
SEAT195,SEC1,10,15,BOOKED,0
SEAT196,SEC1,10,16,BOOKED,0
SEAT197,SEC1,10,17,AVAILABLE,0
SEAT198,SEC1,10,18,BOOKED,0
SEAT199,SEC1,10,19,BOOKED,0
SEAT200,SEC1,10,20,BOOKED,0
SEAT201,SEC1,11,1,BOOKED,0
SEAT202,SEC1,11,2,BOOKED,0
SEAT203,SEC1,11,3,BOOKED,0
SEAT204,SEC1,11,4,BOOKED,0
SEAT205,SEC1,11,5,BOOKED,0
SEAT206,SEC1,11,6,AVAILABLE,0
SEAT207,SEC1,11,7,BOOKED,0
SEAT208,SEC1,11,8,BOOKED,0
SEAT209,SEC1,11,9,BOOKED,0
SEAT210,SEC1,11,10,BOOKED,0
SEAT211,SEC1,11,11,BOOKED,0
SEAT212,SEC1,11,12,BOOKED,0
SEAT213,SEC1,11,13,BOOKED,0
SEAT214,SEC1,11,14,BOOKED,0
SEAT215,SEC1,11,15,BOOKED,0
SEAT216,SEC1,11,16,BOOKED,0
SEAT217,SEC1,11,17,BOOKED,0
SEAT218,SEC1,11,18,BOOKED,0
SEAT219,SEC1,11,19,BOOKED,0
SEAT220,SEC1,11,20,BOOKED,0
SEAT221,SEC1,12,1,BOOKED,0
SEAT222,SEC1,12,2,BOOKED,0
SEAT223,SEC1,12,3,BOOKED,0
SEAT224,SEC1,12,4,BOOKED,0
SEAT225,SEC1,12,5,BOOKED,0
SEAT226,SEC1,12,6,BOOKED,0
SEAT227,SEC1,12,7,BOOKED,0
SEAT228,SEC1,12,8,BOOKED,0
SEAT229,SEC1,12,9,BOOKED,0
SEAT230,SEC1,12,10,BOOKED,0
SEAT231,SEC1,12,11,BOOKED,0
SEAT232,SEC1,12,12,BOOKED,0
SEAT233,SEC1,12,13,BOOKED,0
SEAT234,SEC1,12,14,BOOKED,0
SEAT235,SEC1,12,15,BOOKED,0
SEAT236,SEC1,12,16,BOOKED,0
SEAT237,SEC1,12,17,BOOKED,0
SEAT238,SEC1,12,18,BOOKED,0
SEAT239,SEC1,12,19,BOOKED,0
SEAT240,SEC1,12,20,BOOKED,0
SEAT241,SEC1,13,1,BOOKED,0
SEAT242,SEC1,13,2,BOOKED,0
SEAT243,SEC1,13,3,BOOKED,0
SEAT244,SEC1,13,4,BOOKED,0
SEAT245,SEC1,13,5,BOOKED,0
SEAT246,SEC1,13,6,BOOKED,0
SEAT247,SEC1,13,7,BOOKED,0
SEAT248,SEC1,13,8,BOOKED,0
SEAT249,SEC1,13,9,BOOKED,0
SEAT250,SEC1,13,10,BOOKED,0
SEAT251,SEC1,13,11,BOOKED,0
SEAT252,SEC1,13,12,BOOKED,0
SEAT253,SEC1,13,13,BOOKED,0
SEAT254,SEC1,13,14,BOOKED,0
SEAT255,SEC1,13,15,BOOKED,0
SEAT256,SEC1,13,16,BOOKED,0
SEAT257,SEC1,13,17,BOOKED,0
SEAT258,SEC1,13,18,BOOKED,0
SEAT259,SEC1,13,19,BOOKED,0
SEAT260,SEC1,13,20,BOOKED,0
SEAT261,SEC1,14,1,BOOKED,0
SEAT262,SEC1,14,2,BOOKED,0
SEAT263,SEC1,14,3,BOOKED,0
SEAT264,SEC1,14,4,BOOKED,0
SEAT265,SEC1,14,5,BOOKED,0
SEAT266,SEC1,14,6,BOOKED,0
SEAT267,SEC1,14,7,BOOKED,0
SEAT268,SEC1,14,8,BOOKED,0
SEAT269,SEC1,14,9,BOOKED,0
SEAT270,SEC1,14,10,BOOKED,0
SEAT271,SEC1,14,11,BOOKED,0
SEAT272,SEC1,14,12,AVAILABLE,0
SEAT273,SEC1,14,13,BOOKED,0
SEAT274,SEC1,14,14,BOOKED,0
SEAT275,SEC1,14,15,BOOKED,0
SEAT276,SEC1,14,16,BOOKED,0
SEAT277,SEC1,14,17,BOOKED,0
SEAT278,SEC1,14,18,BOOKED,0
SEAT279,SEC1,14,19,BOOKED,0
SEAT280,SEC1,14,20,BOOKED,0
SEAT281,SEC1,15,1,BOOKED,0
SEAT282,SEC1,15,2,BOOKED,0
SEAT283,SEC1,15,3,BOOKED,0
SEAT284,SEC1,15,4,BOOKED,0
SEAT285,SEC1,15,5,BOOKED,0
SEAT286,SEC1,15,6,BOOKED,0
SEAT287,SEC1,15,7,BOOKED,0
SEAT288,SEC1,15,8,BOOKED,0
SEAT289,SEC1,15,9,BOOKED,0
SEAT290,SEC1,15,10,AVAILABLE,0
SEAT291,SEC1,15,11,BOOKED,0
SEAT292,SEC1,15,12,BOOKED,0
SEAT293,SEC1,15,13,BOOKED,0
SEAT294,SEC1,15,14,BOOKED,0
SEAT295,SEC1,15,15,BOOKED,0
SEAT296,SEC1,15,16,BOOKED,0
SEAT297,SEC1,15,17,BOOKED,0
SEAT298,SEC1,15,18,BOOKED,0
SEAT299,SEC1,15,19,BOOKED,0
SEAT300,SEC1,15,20,BOOKED,0
SEAT301,SEC1,16,1,BOOKED,0
SEAT302,SEC1,16,2,BOOKED,0
SEAT303,SEC1,16,3,BOOKED,0
SEAT304,SEC1,16,4,BOOKED,0
SEAT305,SEC1,16,5,BOOKED,0
SEAT306,SEC1,16,6,BOOKED,0
SEAT307,SEC1,16,7,BOOKED,0
SEAT308,SEC1,16,8,BOOKED,0
SEAT309,SEC1,16,9,BOOKED,0
SEAT310,SEC1,16,10,BOOKED,0
SEAT311,SEC1,16,11,BOOKED,0
SEAT312,SEC1,16,12,BOOKED,0
SEAT313,SEC1,16,13,BOOKED,0
SEAT314,SEC1,16,14,BOOKED,0
SEAT315,SEC1,16,15,BOOKED,0
SEAT316,SEC1,16,16,BOOKED,0
SEAT317,SEC1,16,17,BOOKED,0
SEAT318,SEC1,16,18,BOOKED,0
SEAT319,SEC1,16,19,BOOKED,0
SEAT320,SEC1,16,20,BOOKED,0
SEAT321,SEC1,17,1,BOOKED,0
SEAT322,SEC1,17,2,BOOKED,0
SEAT323,SEC1,17,3,BOOKED,0
SEAT324,SEC1,17,4,BOOKED,0
SEAT325,SEC1,17,5,BOOKED,0
SEAT326,SEC1,17,6,BOOKED,0
SEAT327,SEC1,17,7,BOOKED,0
SEAT328,SEC1,17,8,BOOKED,0
SEAT329,SEC1,17,9,BOOKED,0
SEAT330,SEC1,17,10,BOOKED,0
SEAT331,SEC1,17,11,BOOKED,0
SEAT332,SEC1,17,12,BOOKED,0
SEAT333,SEC1,17,13,BOOKED,0
SEAT334,SEC1,17,14,BOOKED,0
SEAT335,SEC1,17,15,BOOKED,0
SEAT336,SEC1,17,16,BOOKED,0
SEAT337,SEC1,17,17,BOOKED,0
SEAT338,SEC1,17,18,BOOKED,0
SEAT339,SEC1,17,19,AVAILABLE,0
SEAT340,SEC1,17,20,BOOKED,0
SEAT341,SEC1,18,1,BOOKED,0
SEAT342,SEC1,18,2,BOOKED,0
SEAT343,SEC1,18,3,BOOKED,0
SEAT344,SEC1,18,4,BOOKED,0
SEAT345,SEC1,18,5,BOOKED,0
SEAT346,SEC1,18,6,BOOKED,0
SEAT347,SEC1,18,7,BOOKED,0
SEAT348,SEC1,18,8,BOOKED,0
SEAT349,SEC1,18,9,BOOKED,0
SEAT350,SEC1,18,10,BOOKED,0
SEAT351,SEC1,18,11,BOOKED,0
SEAT352,SEC1,18,12,AVAILABLE,0
SEAT353,SEC1,18,13,BOOKED,0
SEAT354,SEC1,18,14,BOOKED,0
SEAT355,SEC1,18,15,BOOKED,0
SEAT356,SEC1,18,16,BOOKED,0
SEAT357,SEC1,18,17,BOOKED,0
SEAT358,SEC1,18,18,BOOKED,0
SEAT359,SEC1,18,19,BOOKED,0
SEAT360,SEC1,18,20,BOOKED,0
SEAT361,SEC1,19,1,AVAILABLE,0
SEAT362,SEC1,19,2,BOOKED,0
SEAT363,SEC1,19,3,BOOKED,0
SEAT364,SEC1,19,4,BOOKED,0
SEAT365,SEC1,19,5,BOOKED,0
SEAT366,SEC1,19,6,BOOKED,0
SEAT367,SEC1,19,7,BOOKED,0
SEAT368,SEC1,19,8,BOOKED,0
SEAT369,SEC1,19,9,BOOKED,0
SEAT370,SEC1,19,10,BOOKED,0
SEAT371,SEC1,19,11,BOOKED,0
SEAT372,SEC1,19,12,BOOKED,0
SEAT373,SEC1,19,13,BOOKED,0
SEAT374,SEC1,19,14,BOOKED,0
SEAT375,SEC1,19,15,BOOKED,0
SEAT376,SEC1,19,16,BOOKED,0
SEAT377,SEC1,19,17,BOOKED,0
SEAT378,SEC1,19,18,BOOKED,0
SEAT379,SEC1,19,19,BOOKED,0
SEAT380,SEC1,19,20,BOOKED,0
SEAT381,SEC1,20,1,BOOKED,0
SEAT382,SEC1,20,2,BOOKED,0
SEAT383,SEC1,20,3,BOOKED,0
SEAT384,SEC1,20,4,BOOKED,0
SEAT385,SEC1,20,5,BOOKED,0
SEAT386,SEC1,20,6,BOOKED,0
SEAT387,SEC1,20,7,BOOKED,0
SEAT388,SEC1,20,8,BOOKED,0
SEAT389,SEC1,20,9,BOOKED,0
SEAT390,SEC1,20,10,BOOKED,0
SEAT391,SEC1,20,11,BOOKED,0
SEAT392,SEC1,20,12,BOOKED,0
SEAT393,SEC1,20,13,BOOKED,0
SEAT394,SEC1,20,14,BOOKED,0
SEAT395,SEC1,20,15,BOOKED,0
SEAT396,SEC1,20,16,BOOKED,0
SEAT397,SEC1,20,17,BOOKED,0
SEAT398,SEC1,20,18,BOOKED,0
SEAT399,SEC1,20,19,BOOKED,0
SEAT400,SEC1,20,20,BOOKED,0
SEAT401,SEC1,21,1,AVAILABLE,0
SEAT402,SEC1,21,2,BOOKED,0
SEAT403,SEC1,21,3,BOOKED,0
SEAT404,SEC1,21,4,BOOKED,0
SEAT405,SEC1,21,5,BOOKED,0
SEAT406,SEC1,21,6,BOOKED,0
SEAT407,SEC1,21,7,BOOKED,0
SEAT408,SEC1,21,8,BOOKED,0
SEAT409,SEC1,21,9,BOOKED,0
SEAT410,SEC1,21,10,BOOKED,0
SEAT411,SEC1,21,11,BOOKED,0
SEAT412,SEC1,21,12,BOOKED,0
SEAT413,SEC1,21,13,BOOKED,0
SEAT414,SEC1,21,14,BOOKED,0
SEAT415,SEC1,21,15,BOOKED,0
SEAT416,SEC1,21,16,BOOKED,0
SEAT417,SEC1,21,17,BOOKED,0
SEAT418,SEC1,21,18,BOOKED,0
SEAT419,SEC1,21,19,BOOKED,0
SEAT420,SEC1,21,20,BOOKED,0
SEAT421,SEC1,22,1,BOOKED,0
SEAT422,SEC1,22,2,BOOKED,0
SEAT423,SEC1,22,3,BOOKED,0
SEAT424,SEC1,22,4,BOOKED,0
SEAT425,SEC1,22,5,BOOKED,0
SEAT426,SEC1,22,6,BOOKED,0
SEAT427,SEC1,22,7,BOOKED,0
SEAT428,SEC1,22,8,BOOKED,0
SEAT429,SEC1,22,9,BOOKED,0
SEAT430,SEC1,22,10,BOOKED,0
SEAT431,SEC1,22,11,BOOKED,0
SEAT432,SEC1,22,12,BOOKED,0
SEAT433,SEC1,22,13,BOOKED,0
SEAT434,SEC1,22,14,BOOKED,0
SEAT435,SEC1,22,15,BOOKED,0
SEAT436,SEC1,22,16,BOOKED,0
SEAT437,SEC1,22,17,BOOKED,0
SEAT438,SEC1,22,18,BOOKED,0
SEAT439,SEC1,22,19,BOOKED,0
SEAT440,SEC1,22,20,BOOKED,0
SEAT441,SEC1,23,1,BOOKED,0
SEAT442,SEC1,23,2,AVAILABLE,0
SEAT443,SEC1,23,3,BOOKED,0
SEAT444,SEC1,23,4,BOOKED,0
SEAT445,SEC1,23,5,BOOKED,0
SEAT446,SEC1,23,6,BOOKED,0
SEAT447,SEC1,23,7,BOOKED,0
SEAT448,SEC1,23,8,BOOKED,0
SEAT449,SEC1,23,9,BOOKED,0
SEAT450,SEC1,23,10,BOOKED,0
SEAT451,SEC1,23,11,BOOKED,0
SEAT452,SEC1,23,12,BOOKED,0
SEAT453,SEC1,23,13,BOOKED,0
SEAT454,SEC1,23,14,BOOKED,0
SEAT455,SEC1,23,15,BOOKED,0
SEAT456,SEC1,23,16,BOOKED,0
SEAT457,SEC1,23,17,BOOKED,0
SEAT458,SEC1,23,18,BOOKED,0
SEAT459,SEC1,23,19,BOOKED,0
SEAT460,SEC1,23,20,BOOKED,0
SEAT461,SEC1,24,1,AVAILABLE,0
SEAT462,SEC1,24,2,BOOKED,0
SEAT463,SEC1,24,3,AVAILABLE,0
SEAT464,SEC1,24,4,BOOKED,0
SEAT465,SEC1,24,5,BOOKED,0
SEAT466,SEC1,24,6,AVAILABLE,0
SEAT467,SEC1,24,7,BOOKED,0
SEAT468,SEC1,24,8,BOOKED,0
SEAT469,SEC1,24,9,BOOKED,0
SEAT470,SEC1,24,10,BOOKED,0
SEAT471,SEC1,24,11,BOOKED,0
SEAT472,SEC1,24,12,BOOKED,0
SEAT473,SEC1,24,13,BOOKED,0
SEAT474,SEC1,24,14,BOOKED,0
SEAT475,SEC1,24,15,BOOKED,0
SEAT476,SEC1,24,16,BOOKED,0
SEAT477,SEC1,24,17,BOOKED,0
SEAT478,SEC1,24,18,BOOKED,0
SEAT479,SEC1,24,19,BOOKED,0
SEAT480,SEC1,24,20,BOOKED,0
SEAT481,SEC1,25,1,BOOKED,0
SEAT482,SEC1,25,2,BOOKED,0
SEAT483,SEC1,25,3,BOOKED,0
SEAT484,SEC1,25,4,BOOKED,0
SEAT485,SEC1,25,5,BOOKED,0
SEAT486,SEC1,25,6,BOOKED,0
SEAT487,SEC1,25,7,BOOKED,0
SEAT488,SEC1,25,8,BOOKED,0
SEAT489,SEC1,25,9,BOOKED,0
SEAT490,SEC1,25,10,BOOKED,0
SEAT491,SEC1,25,11,BOOKED,0
SEAT492,SEC1,25,12,AVAILABLE,0
SEAT493,SEC1,25,13,BOOKED,0
SEAT494,SEC1,25,14,BOOKED,0
SEAT495,SEC1,25,15,BOOKED,0
SEAT496,SEC1,25,16,BOOKED,0
SEAT497,SEC1,25,17,BOOKED,0
SEAT498,SEC1,25,18,BOOKED,0
SEAT499,SEC1,25,19,BOOKED,0
SEAT500,SEC1,25,20,BOOKED,0
SEAT501,SEC1,26,1,BOOKED,0
SEAT502,SEC1,26,2,BOOKED,0
SEAT503,SEC1,26,3,BOOKED,0
SEAT504,SEC1,26,4,BOOKED,0
SEAT505,SEC1,26,5,BOOKED,0
SEAT506,SEC1,26,6,BOOKED,0
SEAT507,SEC1,26,7,BOOKED,0
SEAT508,SEC1,26,8,BOOKED,0
SEAT509,SEC1,26,9,BOOKED,0
SEAT510,SEC1,26,10,BOOKED,0
SEAT511,SEC1,26,11,BOOKED,0
SEAT512,SEC1,26,12,BOOKED,0
SEAT513,SEC1,26,13,BOOKED,0
SEAT514,SEC1,26,14,BOOKED,0
SEAT515,SEC1,26,15,BOOKED,0
SEAT516,SEC1,26,16,BOOKED,0
SEAT517,SEC1,26,17,BOOKED,0
SEAT518,SEC1,26,18,BOOKED,0
SEAT519,SEC1,26,19,BOOKED,0
SEAT520,SEC1,26,20,BOOKED,0
SEAT521,SEC1,27,1,BOOKED,0
SEAT522,SEC1,27,2,BOOKED,0
SEAT523,SEC1,27,3,BOOKED,0
SEAT524,SEC1,27,4,BOOKED,0
SEAT525,SEC1,27,5,BOOKED,0
SEAT526,SEC1,27,6,AVAILABLE,0
SEAT527,SEC1,27,7,BOOKED,0
SEAT528,SEC1,27,8,BOOKED,0
SEAT529,SEC1,27,9,BOOKED,0
SEAT530,SEC1,27,10,BOOKED,0
SEAT531,SEC1,27,11,BOOKED,0
SEAT532,SEC1,27,12,BOOKED,0
SEAT533,SEC1,27,13,BOOKED,0
SEAT534,SEC1,27,14,BOOKED,0
SEAT535,SEC1,27,15,BOOKED,0
SEAT536,SEC1,27,16,BOOKED,0
SEAT537,SEC1,27,17,BOOKED,0
SEAT538,SEC1,27,18,BOOKED,0
SEAT539,SEC1,27,19,BOOKED,0
SEAT540,SEC1,27,20,BOOKED,0
SEAT541,SEC1,28,1,BOOKED,0
SEAT542,SEC1,28,2,BOOKED,0
SEAT543,SEC1,28,3,BOOKED,0
SEAT544,SEC1,28,4,BOOKED,0
SEAT545,SEC1,28,5,BOOKED,0
SEAT546,SEC1,28,6,BOOKED,0
SEAT547,SEC1,28,7,AVAILABLE,0
SEAT548,SEC1,28,8,BOOKED,0
SEAT549,SEC1,28,9,BOOKED,0
SEAT550,SEC1,28,10,BOOKED,0
SEAT551,SEC1,28,11,BOOKED,0
SEAT552,SEC1,28,12,BOOKED,0
SEAT553,SEC1,28,13,BOOKED,0
SEAT554,SEC1,28,14,BOOKED,0
SEAT555,SEC1,28,15,BOOKED,0
SEAT556,SEC1,28,16,BOOKED,0
SEAT557,SEC1,28,17,BOOKED,0
SEAT558,SEC1,28,18,BOOKED,0
SEAT559,SEC1,28,19,BOOKED,0
SEAT560,SEC1,28,20,BOOKED,0
SEAT561,SEC1,29,1,BOOKED,0
SEAT562,SEC1,29,2,BOOKED,0
SEAT563,SEC1,29,3,BOOKED,0
SEAT564,SEC1,29,4,BOOKED,0
SEAT565,SEC1,29,5,BOOKED,0
SEAT566,SEC1,29,6,BOOKED,0
SEAT567,SEC1,29,7,BOOKED,0
SEAT568,SEC1,29,8,BOOKED,0
SEAT569,SEC1,29,9,BOOKED,0
SEAT570,SEC1,29,10,BOOKED,0
SEAT571,SEC1,29,11,BOOKED,0
SEAT572,SEC1,29,12,BOOKED,0
SEAT573,SEC1,29,13,BOOKED,0
SEAT574,SEC1,29,14,BOOKED,0
SEAT575,SEC1,29,15,BOOKED,0
SEAT576,SEC1,29,16,BOOKED,0
SEAT577,SEC1,29,17,BOOKED,0
SEAT578,SEC1,29,18,BOOKED,0
SEAT579,SEC1,29,19,BOOKED,0
SEAT580,SEC1,29,20,BOOKED,0
SEAT581,SEC1,30,1,BOOKED,0
SEAT582,SEC1,30,2,BOOKED,0
SEAT583,SEC1,30,3,BOOKED,0
SEAT584,SEC1,30,4,BOOKED,0
SEAT585,SEC1,30,5,BOOKED,0
SEAT586,SEC1,30,6,BOOKED,0
SEAT587,SEC1,30,7,BOOKED,0
SEAT588,SEC1,30,8,BOOKED,0
SEAT589,SEC1,30,9,BOOKED,0
SEAT590,SEC1,30,10,BOOKED,0
SEAT591,SEC1,30,11,BOOKED,0
SEAT592,SEC1,30,12,BOOKED,0
SEAT593,SEC1,30,13,BOOKED,0
SEAT594,SEC1,30,14,BOOKED,0
SEAT595,SEC1,30,15,BOOKED,0
SEAT596,SEC1,30,16,BOOKED,0
SEAT597,SEC1,30,17,AVAILABLE,0
SEAT598,SEC1,30,18,BOOKED,0
SEAT599,SEC1,30,19,BOOKED,0
SEAT600,SEC1,30,20,BOOKED,0
SEAT601,SEC1,31,1,BOOKED,0
SEAT602,SEC1,31,2,AVAILABLE,0
SEAT603,SEC1,31,3,BOOKED,0
SEAT604,SEC1,31,4,BOOKED,0
SEAT605,SEC1,31,5,BOOKED,0
