stadiumId,name,location,capacity
S00117,Hanoi Dome 117,Hanoi,37000
S00118,Hue Arena 118,Hue,70000
S00119,Quy Nhon Arena 119,Quy Nhon,79500
S00120,Nam Dinh Park 120,Nam Dinh,17000
S00121,Hue Park 121,Hue,52000
S00122,Hanoi National Stadium 122,Hanoi,57000
S00123,Hue Arena 123,Hue,72000
S00124,Quy Nhon Arena 124,Quy Nhon,18500
S00125,Nha Trang Dome 125,Nha Trang,36500
S00126,Hai Phong Dome 126,Hai Phong,36500
S00127,Can Tho Dome 127,Can Tho,33000
S00128,Hue Sports Complex 128,Hue,69500
S00129,Ho Chi Minh City Dome 129,Ho Chi Minh City,16500
S00130,Binh Duong National Stadium 130,Binh Duong,77500
S00131,Can Tho Arena 131,Can Tho,57500
S00132,Ho Chi Minh City National Stadium 132,Ho Chi Minh City,64500
S00133,Hanoi Arena 133,Hanoi,28000
S00134,Hanoi Park 134,Hanoi,25000
S00135,Hai Phong Arena 135,Hai Phong,46000
S00136,Ho Chi Minh City Park 136,Ho Chi Minh City,77000
S00137,Hai Phong Dome 137,Hai Phong,61000
S00138,Nha Trang Sports Complex 138,Nha Trang,26000
S00139,Nam Dinh Park 139,Nam Dinh,78000
S00140,Ho Chi Minh City Arena 140,Ho Chi Minh City,78000
S00141,Nha Trang National Stadium 141,Nha Trang,53000
S00142,Hanoi Sports Complex 142,Hanoi,52500
S00143,Hue Dome 143,Hue,76500
S00144,Hai Phong National Stadium 144,Hai Phong,54000
S00145,Hai Phong National Stadium 145,Hai Phong,60500
S00146,Nha Trang Park 146,Nha Trang,68000
S00147,Ho Chi Minh City Park 147,Ho Chi Minh City,66500
S00148,Hanoi Sports Complex 148,Hanoi,50000
S00149,Hue Sports Complex 149,Hue,19500
S00150,Binh Duong Sports Complex 150,Binh Duong,16000
S00151,Hue Dome 151,Hue,22000
S00152,Hue Sports Complex 152,Hue,56500
S00153,Quy Nhon Arena 153,Quy Nhon,43500
S00154,Da Nang Park 154,Da Nang,78500
S00155,Nha Trang Park 155,Nha Trang,68000
S00156,Binh Duong Dome 156,Binh Duong,45500
S00157,Hue Park 157,Hue,32500
S00158,Can Tho Arena 158,Can Tho,69500
S00159,Ho Chi Minh City Sports Complex 159,Ho Chi Minh City,73000
S00160,Quy Nhon Arena 160,Quy Nhon,64000
S00161,Quy Nhon Park 161,Quy Nhon,55000
S00162,Hue Sports Complex 162,Hue,17000
S00163,Quy Nhon Sports Complex 163,Quy Nhon,27000
S00164,Quy Nhon Arena 164,Quy Nhon,38500
S00165,Nha Trang Sports Complex 165,Nha Trang,33500
S00166,Nam Dinh Sports Complex 166,Nam Dinh,51500
S00167,Hanoi Park 167,Hanoi,77000
S00168,Hai Phong National Stadium 168,Hai Phong,31000
S00169,Hue Dome 169,Hue,51500
S00170,Hai Phong Dome 170,Hai Phong,57500
S00171,Quy Nhon Dome 171,Quy Nhon,67000
S00172,Hanoi National Stadium 172,Hanoi,34500
S00173,Hai Phong Dome 173,Hai Phong,60500
S00174,Hai Phong Sports Complex 174,Hai Phong,58500
S00175,Nam Dinh Sports Complex 175,Nam Dinh,46000
S00176,Binh Duong Park 176,Binh Duong,37500
S00177,Hue Park 177,Hue,36500
S00178,Can Tho Dome 178,Can Tho,33000
S00179,Nha Trang Sports Complex 179,Nha Trang,30000
S00180,Ho Chi Minh City Arena 180,Ho Chi Minh City,35500
S00181,Ho Chi Minh City Park 181,Ho Chi Minh City,77500
S00182,Da Nang Arena 182,Da Nang,29000
S00183,Quy Nhon Sports Complex 183,Quy Nhon,62500
S00184,Nam Dinh Park 184,Nam Dinh,54000
S00185,Nha Trang National Stadium 185,Nha Trang,69500
S00186,Hai Phong Sports Complex 186,Hai Phong,30000
S00187,Can Tho Arena 187,Can Tho,35000
S00188,Hanoi Park 188,Hanoi,23500
S00189,Nha Trang National Stadium 189,Nha Trang,79000
S00190,Hanoi Park 190,Hanoi,34000
S00191,Da Nang Dome 191,Da Nang,21500
S00192,Hanoi Park 192,Hanoi,33500
S00193,Quy Nhon Dome 193,Quy Nhon,44000
S00194,Can Tho Arena 194,Can Tho,78500
S00195,Hanoi Sports Complex 195,Hanoi,76500
S00196,Quy Nhon National Stadium 196,Quy Nhon,69000
S00197,Ho Chi Minh City Dome 197,Ho Chi Minh City,47000
S00198,Ho Chi Minh City Park 198,Ho Chi Minh City,56500
S00199,Hanoi Arena 199,Hanoi,25000
S00200,Nam Dinh Sports Complex 200,Nam Dinh,20500
S00201,Hai Phong National Stadium 201,Hai Phong,51500
S00202,Hue Park 202,Hue,54000
S00203,Nam Dinh Arena 203,Nam Dinh,66000
S00204,Binh Duong Dome 204,Binh Duong,44500
S00205,Quy Nhon Sports Complex 205,Quy Nhon,71500
S00206,Nam Dinh Dome 206,Nam Dinh,35000
S00207,Nam Dinh Park 207,Nam Dinh,19000
S00208,Nam Dinh National Stadium 208,Nam Dinh,77000
S00209,Hai Phong Arena 209,Hai Phong,32500
S00210,Ho Chi Minh City Arena 210,Ho Chi Minh City,30500
S00211,Da Nang Park 211,Da Nang,20000
S00212,Da Nang National Stadium 212,Da Nang,42000
S00213,Quy Nhon Park 213,Quy Nhon,46000
S00214,Nha Trang National Stadium 214,Nha Trang,30000
S00215,Nha Trang Sports Complex 215,Nha Trang,61000
S00216,Quy Nhon National Stadium 216,Quy Nhon,60000
S00217,Hai Phong Sports Complex 217,Hai Phong,66500
S00218,Nam Dinh Arena 218,Nam Dinh,43000
S00219,Ho Chi Minh City Park 219,Ho Chi Minh City,29500
S00220,Da Nang Sports Complex 220,Da Nang,69000
S00221,Da Nang National Stadium 221,Da Nang,19000
S00222,Da Nang Sports Complex 222,Da Nang,54000
S00223,Nam Dinh Sports Complex 223,Nam Dinh,44000
S00224,Ho Chi Minh City Dome 224,Ho Chi Minh City,60000
S00225,Nha Trang Dome 225,Nha Trang,77000
S00226,Nha Trang Park 226,Nha Trang,50500
S00227,Quy Nhon Dome 227,Quy Nhon,20500
S00228,Nam Dinh National Stadium 228,Nam Dinh,73500
S00229,Hue Sports Complex 229,Hue,54500
S00230,Nha Trang National Stadium 230,Nha Trang,21000
S00231,Hai Phong Park 231,Hai Phong,53500
S00232,Hanoi Sports Complex 232,Hanoi,53000
S00233,Hanoi Arena 233,Hanoi,46000
S00234,Binh Duong Dome 234,Binh Duong,75000
S00235,Nha Trang Arena 235,Nha Trang,53500
S00236,Hue Dome 236,Hue,78500
S00237,Ho Chi Minh City Dome 237,Ho Chi Minh City,38000
S00238,Hue Sports Complex 238,Hue,36000
S00239,Ho Chi Minh City Arena 239,Ho Chi Minh City,36500
S00240,Hue Dome 240,Hue,34000
S00241,Hue Park 241,Hue,17500
S00242,Quy Nhon National Stadium 242,Quy Nhon,35500
S00243,Nha Trang Sports Complex 243,Nha Trang,22500
S00244,Hue Park 244,Hue,69000
S00245,Hanoi Park 245,Hanoi,45500
S00246,Hue National Stadium 246,Hue,27500
S00247,Binh Duong Sports Complex 247,Binh Duong,56000
S00248,Quy Nhon Dome 248,Quy Nhon,65000
S00249,Hanoi Arena 249,Hanoi,32500
S00250,Binh Duong Arena 250,Binh Duong,76000
S00251,Nha Trang Dome 251,Nha Trang,72500
S00252,Quy Nhon National Stadium 252,Quy Nhon,17000
S00253,Nam Dinh Arena 253,Nam Dinh,61500
S00254,Da Nang Sports Complex 254,Da Nang,51000
S00255,Hanoi Park 255,Hanoi,41500
S00256,Ho Chi Minh City Arena 256,Ho Chi Minh City,70000
S00257,Ho Chi Minh City Dome 257,Ho Chi Minh City,77000
S00258,Ho Chi Minh City Arena 258,Ho Chi Minh City,47500
S00259,Nha Trang Park 259,Nha Trang,61000
S00260,Nha Trang Dome 260,Nha Trang,69500
S00261,Quy Nhon Dome 261,Quy Nhon,31000
S00262,Quy Nhon Park 262,Quy Nhon,24500
S00263,Hue Arena 263,Hue,75500
S00264,Nam Dinh Park 264,Nam Dinh,64000
S00265,Da Nang National Stadium 265,Da Nang,33000
S00266,Hue Sports Complex 266,Hue,76000
S00267,Binh Duong Sports Complex 267,Binh Duong,69000
S00268,Hanoi Sports Complex 268,Hanoi,62500
S00269,Nha Trang Park 269,Nha Trang,53000
S00270,Quy Nhon Arena 270,Quy Nhon,44500
S00271,Binh Duong Dome 271,Binh Duong,37500
S00272,Can Tho Park 272,Can Tho,65000
S00273,Binh Duong Dome 273,Binh Duong,45000
S00274,Can Tho Arena 274,Can Tho,79500
S00275,Hai Phong Park 275,Hai Phong,40000
S00276,Hai Phong Dome 276,Hai Phong,18000
S00277,Can Tho Dome 277,Can Tho,61000
S00278,Hue Dome 278,Hue,80000
S00279,Da Nang Dome 279,Da Nang,78000
S00280,Hanoi Arena 280,Hanoi,48000
S00281,Nam Dinh Sports Complex 281,Nam Dinh,72000
S00282,Ho Chi Minh City Dome 282,Ho Chi Minh City,21500
S00283,Binh Duong Dome 283,Binh Duong,16000
S00284,Da Nang Dome 284,Da Nang,72000
S00285,Da Nang National Stadium 285,Da Nang,46000
S00286,Nha Trang Sports Complex 286,Nha Trang,56000
S00287,Hue National Stadium 287,Hue,71000
S00288,Can Tho Park 288,Can Tho,40000
S00289,Can Tho Dome 289,Can Tho,72000
S00290,Binh Duong National Stadium 290,Binh Duong,55500
S00291,Ho Chi Minh City Arena 291,Ho Chi Minh City,56500
S00292,Nha Trang Arena 292,Nha Trang,64000
S00293,Ho Chi Minh City Dome 293,Ho Chi Minh City,79000
S00294,Ho Chi Minh City National Stadium 294,Ho Chi Minh City,44000
S00295,Da Nang Sports Complex 295,Da Nang,74000
S00296,Hanoi National Stadium 296,Hanoi,36500
S00297,Hanoi Sports Complex 297,Hanoi,38500
S00298,Can Tho Dome 298,Can Tho,24500
S00299,Hai Phong Park 299,Hai Phong,42000
S00300,Nam Dinh Arena 300,Nam Dinh,26000
S00301,Da Nang National Stadium 301,Da Nang,55000
S00302,Hue Park 302,Hue,60000
S00303,Hai Phong Dome 303,Hai Phong,75000
S00304,Nam Dinh Arena 304,Nam Dinh,30000
S00305,Quy Nhon Sports Complex 305,Quy Nhon,45000
S00306,Nha Trang National Stadium 306,Nha Trang,74000
S00307,Quy Nhon Sports Complex 307,Quy Nhon,59500
S00308,Binh Duong Arena 308,Binh Duong,20000
S00309,Quy Nhon Sports Complex 309,Quy Nhon,79500
S00310,Nam Dinh Sports Complex 310,Nam Dinh,57000
S00311,Hue Sports Complex 311,Hue,45000
S00312,Nha Trang Arena 312,Nha Trang,40000
S00313,Quy Nhon National Stadium 313,Quy Nhon,30500
S00314,Hue Park 314,Hue,38500
S00315,Nam Dinh Sports Complex 315,Nam Dinh,61000
S00316,Nha Trang National Stadium 316,Nha Trang,79000
S00317,Hue Sports Complex 317,Hue,15500
S00318,Nam Dinh National Stadium 318,Nam Dinh,74500
S00319,Nam Dinh Dome 319,Nam Dinh,69500
S00320,Nha Trang Arena 320,Nha Trang,55000
S00321,Can Tho Arena 321,Can Tho,56500
S00322,Hai Phong Park 322,Hai Phong,31500
S00323,Da Nang National Stadium 323,Da Nang,74000
S00324,Hanoi Sports Complex 324,Hanoi,66500
S00325,Quy Nhon National Stadium 325,Quy Nhon,53000
S00326,Can Tho Arena 326,Can Tho,21000
S00327,Nha Trang Sports Complex 327,Nha Trang,64000
S00328,Hue Arena 328,Hue,28000
S00329,Da Nang Park 329,Da Nang,72500
S00330,Can Tho Park 330,Can Tho,48000
S00331,Nha Trang Arena 331,Nha Trang,32000
S00332,Quy Nhon Sports Complex 332,Quy Nhon,64000
S00333,Can Tho National Stadium 333,Can Tho,45500
S00334,Ho Chi Minh City Arena 334,Ho Chi Minh City,64500
S00335,Hai Phong Dome 335,Hai Phong,78500
S00336,Binh Duong Sports Complex 336,Binh Duong,21000
S00337,Hue National Stadium 337,Hue,32500
S00338,Binh Duong National Stadium 338,Binh Duong,45000
S00339,Can Tho Sports Complex 339,Can Tho,53500
S00340,Hue Sports Complex 340,Hue,22000
S00341,Hai Phong Dome 341,Hai Phong,16500
S00342,Nam Dinh Park 342,Nam Dinh,36500
S00343,Nam Dinh Arena 343,Nam Dinh,57500
S00344,Ho Chi Minh City Dome 344,Ho Chi Minh City,74500
S00345,Nha Trang Dome 345,Nha Trang,22500
S00346,Da Nang National Stadium 346,Da Nang,77000
S00347,Hanoi Sports Complex 347,Hanoi,47500
S00348,Ho Chi Minh City National Stadium 348,Ho Chi Minh City,30500
S00349,Binh Duong Arena 349,Binh Duong,40500
S00350,Quy Nhon Sports Complex 350,Quy Nhon,59000
S00351,Binh Duong Dome 351,Binh Duong,53500
S00352,Da Nang Dome 352,Da Nang,58000
S00353,Ho Chi Minh City Dome 353,Ho Chi Minh City,55500
S00354,Hue Sports Complex 354,Hue,17000
S00355,Can Tho Arena 355,Can Tho,44000
S00356,Quy Nhon Arena 356,Quy Nhon,71000
S00357,Can Tho National Stadium 357,Can Tho,79500
S00358,Can Tho Park 358,Can Tho,74000
S00359,Can Tho National Stadium 359,Can Tho,41000
S00360,Nha Trang Arena 360,Nha Trang,78500
S00361,Ho Chi Minh City Dome 361,Ho Chi Minh City,21000
S00362,Hai Phong Park 362,Hai Phong,78500
S00363,Hanoi National Stadium 363,Hanoi,66500
S00364,Can Tho Arena 364,Can Tho,80000
S00365,Da Nang Park 365,Da Nang,28500
S00366,Ho Chi Minh City Park 366,Ho Chi Minh City,28500
S00367,Nam Dinh Arena 367,Nam Dinh,68500
S00368,Hai Phong Sports Complex 368,Hai Phong,65500
S00369,Da Nang Park 369,Da Nang,15000
S00370,Nha Trang Arena 370,Nha Trang,79500
S00371,Da Nang Park 371,Da Nang,31500
S00372,Da Nang National Stadium 372,Da Nang,58500
S00373,Hanoi Arena 373,Hanoi,16000
S00374,Can Tho Arena 374,Can Tho,53500
S00375,Can Tho National Stadium 375,Can Tho,26500
S00376,Nha Trang National Stadium 376,Nha Trang,23500
S00377,Hue Park 377,Hue,22500
S00378,Ho Chi Minh City Dome 378,Ho Chi Minh City,44500
S00379,Can Tho Park 379,Can Tho,54000
S00380,Ho Chi Minh City Dome 380,Ho Chi Minh City,48000
S00381,Hai Phong Park 381,Hai Phong,18000
S00382,Binh Duong Sports Complex 382,Binh Duong,45000
S00383,Hanoi National Stadium 383,Hanoi,46500
S00384,Hue Dome 384,Hue,60000
S00385,Ho Chi Minh City Dome 385,Ho Chi Minh City,61500
S00386,Quy Nhon National Stadium 386,Quy Nhon,74000
S00387,Ho Chi Minh City Sports Complex 387,Ho Chi Minh City,55000
S00388,Da Nang National Stadium 388,Da Nang,23500
S00389,Nha Trang Park 389,Nha Trang,56500
S00390,Nam Dinh Park 390,Nam Dinh,61500
S00391,Can Tho Dome 391,Can Tho,54000
S00392,Binh Duong Sports Complex 392,Binh Duong,44500
S00393,Binh Duong Park 393,Binh Duong,43000
S00394,Ho Chi Minh City National Stadium 394,Ho Chi Minh City,71000
S00395,Binh Duong Arena 395,Binh Duong,43000
S00396,Quy Nhon Arena 396,Quy Nhon,42000
S00397,Can Tho Dome 397,Can Tho,41000
S00398,Hue National Stadium 398,Hue,35500
S00399,Hue Sports Complex 399,Hue,58500
S00400,Nha Trang Sports Complex 400,Nha Trang,77500
S00401,Da Nang Dome 401,Da Nang,19500
S00402,Ho Chi Minh City National Stadium 402,Ho Chi Minh City,21000
S00403,Hue National Stadium 403,Hue,64000
S00404,Can Tho Arena 404,Can Tho,51500
S00405,Hanoi Park 405,Hanoi,77500
S00406,Binh Duong Park 406,Binh Duong,36500
S00407,Ho Chi Minh City Dome 407,Ho Chi Minh City,38000
S00408,Hue National Stadium 408,Hue,78500
S00409,Nha Trang Park 409,Nha Trang,35500
S00410,Can Tho National Stadium 410,Can Tho,53000
S00411,Binh Duong Arena 411,Binh Duong,25000
S00412,Quy Nhon Arena 412,Quy Nhon,70500
S00413,Ho Chi Minh City Sports Complex 413,Ho Chi Minh City,70500
S00414,Binh Duong Sports Complex 414,Binh Duong,22500
S00415,Nha Trang Park 415,Nha Trang,30000
S00416,Hue Park 416,Hue,79000
S00417,Nam Dinh Park 417,Nam Dinh,59000
S00418,Binh Duong National Stadium 418,Binh Duong,55000
S00419,Nha Trang National Stadium 419,Nha Trang,27000
S00420,Nha Trang Sports Complex 420,Nha Trang,75500
S00421,Can Tho Sports Complex 421,Can Tho,15500
S00422,Da Nang Arena 422,Da Nang,52000
S00423,Hue National Stadium 423,Hue,24500
S00424,Hanoi National Stadium 424,Hanoi,64000
S00425,Binh Duong Arena 425,Binh Duong,39500
S00426,Hue Dome 426,Hue,37500
S00427,Da Nang Sports Complex 427,Da Nang,35500
S00428,Can Tho Park 428,Can Tho,54000
S00429,Ho Chi Minh City National Stadium 429,Ho Chi Minh City,25000
S00430,Da Nang Park 430,Da Nang,18500
S00431,Ho Chi Minh City Sports Complex 431,Ho Chi Minh City,44000
S00432,Hue Dome 432,Hue,55000
S00433,Quy Nhon Dome 433,Quy Nhon,33000
S00434,Hai Phong Park 434,Hai Phong,22500
S00435,Can Tho Dome 435,Can Tho,22500
S00436,Nha Trang Park 436,Nha Trang,47000
S00437,Binh Duong Sports Complex 437,Binh Duong,18000
S00438,Hai Phong Dome 438,Hai Phong,79500
S00439,Nam Dinh National Stadium 439,Nam Dinh,15500
S00440,Hai Phong Sports Complex 440,Hai Phong,77000
S00441,Hai Phong Arena 441,Hai Phong,65000
S00442,Nha Trang Sports Complex 442,Nha Trang,36500
S00443,Ho Chi Minh City National Stadium 443,Ho Chi Minh City,47500
S00444,Hue Arena 444,Hue,23500
S00445,Hue Park 445,Hue,61000
S00446,Hai Phong Park 446,Hai Phong,51500
S00447,Can Tho National Stadium 447,Can Tho,41000
S00448,Hanoi Dome 448,Hanoi,16000
S00449,Quy Nhon National Stadium 449,Quy Nhon,71500
S00450,Can Tho Park 450,Can Tho,43000
S00451,Nam Dinh Dome 451,Nam Dinh,61500
S00452,Hue Sports Complex 452,Hue,22500
S00453,Hue National Stadium 453,Hue,78500
S00454,Can Tho Arena 454,Can Tho,67500
S00455,Nam Dinh Dome 455,Nam Dinh,69500
S00456,Can Tho National Stadium 456,Can Tho,43500
S00457,Ho Chi Minh City Arena 457,Ho Chi Minh City,43500
S00458,Nam Dinh Dome 458,Nam Dinh,49500
S00459,Ho Chi Minh City Dome 459,Ho Chi Minh City,72000
S00460,Nha Trang Sports Complex 460,Nha Trang,29500
S00461,Can Tho Arena 461,Can Tho,20000
S00462,Binh Duong National Stadium 462,Binh Duong,50000
S00463,Binh Duong Arena 463,Binh Duong,74500
S00464,Can Tho Sports Complex 464,Can Tho,62500
S00465,Da Nang Arena 465,Da Nang,21500
S00466,Da Nang Sports Complex 466,Da Nang,28000
S00467,Da Nang Park 467,Da Nang,25000
S00468,Ho Chi Minh City Arena 468,Ho Chi Minh City,77500
S00469,Quy Nhon Dome 469,Quy Nhon,64500
S00470,Nam Dinh Park 470,Nam Dinh,44500
S00471,Nam Dinh Park 471,Nam Dinh,36000
S00472,Can Tho Arena 472,Can Tho,44000
S00473,Ho Chi Minh City Dome 473,Ho Chi Minh City,44000
S00474,Nha Trang Sports Complex 474,Nha Trang,54000
S00475,Hanoi Sports Complex 475,Hanoi,48000
S00476,Ho Chi Minh City Sports Complex 476,Ho Chi Minh City,45500
S00477,Quy Nhon National Stadium 477,Quy Nhon,18500
S00478,Can Tho Sports Complex 478,Can Tho,20000
S00479,Ho Chi Minh City Park 479,Ho Chi Minh City,54000
S00480,Binh Duong Dome 480,Binh Duong,45500
S00481,Nam Dinh Park 481,Nam Dinh,77500
S00482,Hanoi Dome 482,Hanoi,74500
S00483,Nam Dinh Arena 483,Nam Dinh,36000
S00484,Nam Dinh Dome 484,Nam Dinh,48000
S00485,Da Nang National Stadium 485,Da Nang,44500
S00486,Ho Chi Minh City Sports Complex 486,Ho Chi Minh City,79500
S00487,Ho Chi Minh City Park 487,Ho Chi Minh City,57500
S00488,Da Nang National Stadium 488,Da Nang,31000
S00489,Quy Nhon Dome 489,Quy Nhon,49500
S00490,Binh Duong Park 490,Binh Duong,25500
S00491,Can Tho Sports Complex 491,Can Tho,75000
S00492,Nha Trang Dome 492,Nha Trang,42000
S00493,Can Tho Park 493,Can Tho,18500
S00494,Can Tho National Stadium 494,Can Tho,36500
S00495,Ho Chi Minh City Park 495,Ho Chi Minh City,59500
S00496,Hue Sports Complex 496,Hue,31500
S00497,Nam Dinh Arena 497,Nam Dinh,37000
S00498,Ho Chi Minh City Park 498,Ho Chi Minh City,58500
S00499,Da Nang Sports Complex 499,Da Nang,35500
S00500,Hue Arena 500,Hue,54000
S00501,Ho Chi Minh City Sports Complex 501,Ho Chi Minh City,51500
S00502,Hue Sports Complex 502,Hue,68500
S00503,Da Nang Park 503,Da Nang,21000
S00504,Hue Park 504,Hue,38500
S00505,Hanoi Sports Complex 505,Hanoi,35000
S00506,Da Nang Arena 506,Da Nang,37500
S00507,Quy Nhon Arena 507,Quy Nhon,30000
S00508,Da Nang Arena 508,Da Nang,20000
S00509,Nha Trang National Stadium 509,Nha Trang,48500
S00510,Binh Duong Park 510,Binh Duong,17500
S00511,Can Tho Park 511,Can Tho,23500
S00512,Nam Dinh Dome 512,Nam Dinh,25000
S00513,Da Nang Arena 513,Da Nang,69500
S00514,Nam Dinh Arena 514,Nam Dinh,62500
S00515,Quy Nhon National Stadium 515,Quy Nhon,42000
S00516,Can Tho Arena 516,Can Tho,78500
S00517,Quy Nhon Park 517,Quy Nhon,33500
S00518,Quy Nhon Arena 518,Quy Nhon,50000
S00519,Hai Phong Sports Complex 519,Hai Phong,78500
S00520,Quy Nhon Arena 520,Quy Nhon,39000
